entry_time,exit_time,entry_price,exit_price,qty_btc,pnl_usd,pnl_pct,exit_reason,ml_prob,ml_approved
2024-01-04,2024-01-04,44258.92,44358.92,2.259432,225.94,0.2259,red_brick,N/A,True
2024-01-08,2024-01-08,44158.92,44558.92,1.134832,453.93,0.9058,partial_profit,N/A,True
2024-01-08,2024-01-08,44158.92,44958.92,2.269665,907.87,1.8116,red_brick,N/A,True
2024-01-10,2024-01-10,46458.92,46163.04,2.186614,-646.98,-0.6369,stop_loss,N/A,True
2024-01-26,2024-01-26,40158.92,40558.92,1.256766,502.71,0.996,partial_profit,N/A,True
2024-01-26,2024-01-26,40158.92,41158.92,2.513533,1256.77,2.4901,red_brick,N/A,True
2024-02-01,2024-02-02,43058.92,43058.92,2.38511,0.0,0.0,red_brick,N/A,True
2024-02-05,2024-02-05,43158.92,43258.92,2.379583,237.96,0.2317,red_brick,N/A,True
2024-02-06,2024-02-06,42958.92,43158.92,2.396201,479.24,0.4656,red_brick,N/A,True
2024-02-18,2024-02-18,51758.92,52158.92,0.99903,399.61,0.7728,partial_profit,N/A,True
2024-02-18,2024-02-19,51758.92,52258.92,1.99806,499.52,0.966,red_brick,N/A,True
2024-02-20,2024-02-20,52158.92,52558.92,0.999988,400.0,0.7669,partial_profit,N/A,True
2024-02-20,2024-02-20,52158.92,52658.92,1.999976,499.99,0.9586,red_brick,N/A,True
2024-02-20,2024-02-21,52158.92,52158.92,2.01723,0.0,0.0,red_brick,N/A,True
2024-02-24,2024-02-25,51558.92,51558.92,2.040705,0.0,0.0,red_brick,N/A,True
2024-02-26,2024-02-26,51758.92,52158.92,1.01641,406.56,0.7728,partial_profit,N/A,True
2024-02-26,2024-02-26,51758.92,54558.92,2.03282,2845.95,5.4097,red_brick,N/A,True
2024-03-06,2024-03-06,66758.92,66135.85,1.624788,-1012.36,-0.9333,stop_loss,N/A,True
2024-03-20,2024-03-21,67758.92,67547.16,1.585868,-335.82,-0.3125,stop_loss,N/A,True
2024-03-24,2024-03-24,65158.92,65558.92,0.821997,328.8,0.6139,partial_profit,N/A,True
2024-03-24,2024-03-24,65158.92,65558.92,1.643994,328.8,0.6139,red_brick,N/A,True
2024-04-04,2024-04-04,67758.92,68158.92,0.795308,318.12,0.5903,partial_profit,N/A,True
2024-04-04,2024-04-04,67758.92,68758.92,1.590617,795.31,1.4758,red_brick,N/A,True
2024-04-11,2024-04-11,70658.92,70858.92,1.541092,308.22,0.283,red_brick,N/A,True
2024-04-19,2024-04-19,62658.92,63058.92,0.871385,348.55,0.6384,partial_profit,N/A,True
2024-04-19,2024-04-19,62658.92,64858.92,1.742771,1917.05,3.5111,red_brick,N/A,True
2024-04-30,2024-04-30,63758.92,63658.92,1.748238,-174.82,-0.1568,red_brick,N/A,True
2024-05-10,2024-05-10,62958.92,63058.92,1.767675,176.77,0.1588,red_brick,N/A,True
2024-05-13,2024-05-13,61558.92,61958.92,0.905374,362.15,0.6498,partial_profit,N/A,True
2024-05-13,2024-05-13,61558.92,62858.92,1.810748,1176.99,2.1118,red_brick,N/A,True
2024-05-15,2024-05-15,62258.92,62658.92,0.907555,363.02,0.6425,partial_profit,N/A,True
